Answer,Question
"عبداللہ بن عمر رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""نماز بغیر وضو کے قبول نہیں کی جاتی اور نہ صدقہ حرام مال سے قبول کیا جاتا ہے""۔",کیا نماز بغیر وضو کے قبول ہو جاتی ہے.
"عبداللہ بن عمر رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""نماز بغیر وضو کے قبول نہیں کی جاتی اور نہ صدقہ حرام مال سے قبول کیا جاتا ہے""۔",کیا صدقہ حرام مال سے قبول کیا جاتا ہے.
"علی رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی الله علیہ وسلم نے فرمایا: ""نماز کی کنجی وضو ہے، اور اس کا تحریمہ صرف «اللہ اکبر» کہنا ہے ۱؎ اور نماز میں جو چیزیں حرام تھیں وہ «السلام علیکم ورحمة اللہ» کہنے ہی سے حلال ہوتی ہیں""۔",نماز کا تحریمہ کیا ہے. نماز کی کنجی کیا ہے.
"جابر بن عبداللہ رضی الله عنہما کہتے ہیں کہ رسول اللہ صلی الله علیہ وسلم نے فرمایا: ""نماز جنت کی کنجی ہے، اور نماز کی کنجی وضو ہے""۔",نماز کس کی کنجی ہے.
"زید بن خالد جہنی رضی الله عنہ کہتے ہیں کہ میں نے رسول اللہ صلی الله علیہ وسلم کو یہ فرماتے ہوئے سنا ہے: ""اگر مجھے اپنی امت کو حرج و مشقت میں مبتلا کرنے کا خطرہ نہ ہوتا تو میں انہیں ہر صلاۃ کے وقت (وجوباً) مسواک کرنے کا حکم دیتا، نیز میں عشاء کو تہائی رات تک مؤخر کرتا (راوی حدیث) ابوسلمہ کہتے ہیں: اس لیے زید بن خالد رضی الله عنہ نماز کے لیے مسجد آتے تو مسواک ان کے کان پر بالکل اسی طرح ہوتی جیسے کاتب کے کان پر قلم ہوتا ہے، وہ نماز کے لیے کھڑے ہوتے تو مسواک کرتے پھر اسے اس کی جگہ پر واپس رکھ لیتے ۱؎۔",کیا ہر صلاۃ کے وقت (وجوباً) مسواک کرنا ضروری ہے.
"ابوہریرہ رضی الله عنہ سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""جب تم میں کسی کو «حدث» ہو جائے (یعنی اس کا وضو ٹوٹ جائے) تو اللہ اس کی نماز قبول نہیں کرتا جب تک کہ وہ وضو نہ کر لے""۔",اگر کسی کا وضو ٹوٹ جائے تو اس کی نماز قبول ہو جاتی ہے.
"عبداللہ بن عباس رضی الله عنہما کہتے ہیں کہ میں نے نبی اکرم صلی الله علیہ وسلم کو دیکھا کہ آپ سجدے کی حالت میں سو گئے یہاں تک کہ آپ خرانٹے لینے لگے، پھر کھڑے ہو کر نماز پڑھنے لگے، تو میں نے عرض کیا: اللہ کے رسول! آپ تو سو گئے تھے؟ آپ نے فرمایا: ""وضو صرف اس پر واجب ہوتا ہے جو چت لیٹ کر سوئے اس لیے کہ جب آدمی لیٹ جاتا ہے تو اس کے جوڑ ڈھیلے ہو جاتے ہیں"" ۱؎۔",وضو کس پر واجب ہوتا ہے
انس بن مالک رضی الله عنہ کہتے ہیں کہ صحابہ کرام رضی الله عنہم (بیٹھے بیٹھے) سو جاتے، پھر اٹھ کر نماز پڑھتے اور وضو نہیں کرتے تھے۔,سو جانے کے بعد پھر اٹھ کر نماز پڑھنا اور وضو نہ کرنا کیسا ہے
ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ نبی اکرم صلی الله علیہ وسلم نے اپنی بیویوں میں سے کسی ایک کا بوسہ لیا، پھر آپ نماز کے لیے نکلے اور وضو نہیں کیا، عروہ کہتے ہیں کہ میں نے (اپنی خالہ ام المؤمنین عائشہ سے) کہا: وہ آپ ہی رہی ہوں گی؟ تو وہ ہنس پڑیں۔,کیا بوسہ لینے کے بعد پھر نماز کے لیے وضو کرنا ضروری ہے.
ابو الدرداء رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی الله علیہ وسلم نے قے کی تو روزہ توڑ دیا اور وضو کیا (معدان کہتے ہیں کہ) پھر میں نے ثوبان رضی الله عنہ سے دمشق کی مسجد میں ملاقات کی اور میں نے ان سے اس بات کا ذکر کیا تو انہوں نے کہا کہ ابو الدرداء نے سچ کہا، میں نے ہی آپ صلی الله علیہ وسلم پر پانی ڈالا تھا۔,کیا قے آنے سے روزہ ٹوٹ جاتا ہے
"ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ فاطمہ بنت ابی حبیش رضی الله عنہا نے نبی اکرم صلی الله علیہ وسلم کے پاس آ کر کہا: اللہ کے رسول! میں ایسی عورت ہوں کہ مجھے استحاضہ کا خون ۱؎ آتا ہے تو میں پاک ہی نہیں رہ پاتی، کیا میں نماز چھوڑ دوں؟ آپ نے فرمایا: ""نہیں، یہ تو ایک رگ ہے حیض نہیں ہے، جب حیض آئے تو نماز چھوڑ دو۔ اور جب وہ چلا جائے (یعنی حیض کے دن پورے ہو جائیں) تو خون دھو کر (غسل کر کے) نماز پڑھو""، ابومعاویہ کی روایت میں ہے ؛ آپ صلی الله علیہ وسلم نے فرمایا: ""ہر نماز کے لیے وضو کرو یہاں تک کہ وہ وقت (حیض کا وقت) آ جائے"" ۱؎۔",کیا حیض آئے تو نماز چھوڑی جا سکتی ہے
"عدی کے دادا عبید بن عازب رضی الله عنہ سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے مستحاضہ کے سلسلہ میں فرمایا: ""وہ ان دنوں میں جن میں اسے حیض آتا ہو نماز چھوڑے رہے، پھر وہ غسل کرے، اور (استحاضہ کا خون آنے پر) ہر نماز کے لیے وضو کرے، روزہ رکھے اور نماز پڑھے""۔",کیا ان دنوں میں جن میں حیض آتا ہو نماز چھوڑی جا سکتی ہے
"ام المؤمنین عائشہ رضی الله عنہا کہتی ہیں کہ ام حبیبہ بنت حجش نے رسول اللہ صلی الله علیہ وسلم سے مسئلہ پوچھا اور کہا کہ مجھے استحاضہ کا خون آتا ہے اور میں پاک نہیں رہ پاتی ہوں۔ تو کیا میں نماز چھوڑ دوں؟ آپ نے فرمایا: ""نہیں، یہ تو محض ایک رگ ہے، لہٰذا تم غسل کرو پھر نماز پڑھو""، تو وہ ہر نماز کے لیے غسل کرتی تھیں۔ ابن شہاب زہری نے اس کا ذکر نہیں کیا کہ رسول اللہ صلی الله علیہ وسلم نے ام حبیبہ رضی الله عنہا کو ہر نماز کے وقت غسل کرنے کا حکم دیا، بلکہ یہ ایسا عمل تھا جسے وہ اپنے طور پر کیا کرتی تھیں ۱؎۔",کیا استحاضہ کا خون آئے تو کیا نماز چھوڑی جا سکتی ہے
معاذہ کہتی ہیں کہ ایک عورت نے عائشہ رضی الله عنہا سے پوچھا: کیا ہم حیض کے دنوں والی نماز کی قضاء کیا کریں؟ تو انہوں نے کہا: کیا تو حروریہ ۱؎ ہے؟ ہم میں سے ایک کو حیض آتا تھا تو اسے قضاء کا حکم نہیں دیا جاتا تھا۔,کیا ہم حیض کے دنوں والی نماز کی قضاء کیا کریں؟
"اسماء بنت ابی بکر رضی الله عنہما کہتی ہیں کہ ایک عورت نے نبی اکرم صلی الله علیہ وسلم سے اس کپڑے کے بارے میں پوچھا جس میں حیض کا خون لگ جائے، تو آپ صلی الله علیہ وسلم نے فرمایا: ""اسے کھرچ دو، پھر اسے پانی سے مل دو، پھر اس پر پانی بہا دو اور اس میں نماز پڑھو""۔",جس کپڑے میں حیض کا خون لگ جائے کیا اس میں نماز ہو جاتی ہے.
"عروہ سے روایت ہے کہ عبداللہ بن ارقم رضی الله عنہ اپنی قوم کے امام تھے، نماز کھڑی ہوئی تو انہوں نے ایک شخص کا ہاتھ پکڑ کر اسے (امامت کے لیے) آگے بڑھا دیا اور کہا: میں نے رسول اللہ صلی الله علیہ وسلم کو فرماتے سنا ہے: ""جب نماز کے لیے اقامت ہو چکی ہو اور تم میں سے کوئی قضائے حاجت کی ضرورت محسوس کرے تو وہ پہلے قضائے حاجت کے لیے جائے""۔",جب نماز کے لیے اقامت ہو چکی ہو اور کوئی قضائے حاجت کی ضرورت محسوس کرے تو کیا کرنا چاہیے
"عبداللہ بن عباس رضی الله عنہما سے روایت ہے کہ نبی اکرم صلی الله علیہ وسلم نے فرمایا: ""جبرائیل علیہ السلام نے خانہ کعبہ کے پاس میری دو بار امامت کی، پہلی بار انہوں نے ظہر اس وقت پڑھی (جب سورج ڈھل گیا اور) سایہ جوتے کے تسمہ کے برابر ہو گیا، پھر عصر اس وقت پڑھی جب ہر چیز کا سایہ اس کے ایک مثل ہو گیا ۱؎، پھر مغرب اس وقت پڑھی جب سورج ڈوب گیا اور روزے دار نے افطار کر لیا، پھر عشاء اس وقت پڑھی جب شفق ۲؎ غائب ہو گئی، پھر نماز فجر اس وقت پڑھی جب فجر روشن ہو گئی اور روزہ دار پر کھانا پینا حرام ہو گیا، دوسری بار ظہر کل کی عصر کے وقت پڑھی جب ہر چیز کا سایہ اس کے مثل ہو گیا، پھر عصر اس وقت پڑھی جب ہر چیز کا سایہ اس کے دو مثل ہو گیا، پھر مغرب اس کے اول وقت ہی میں پڑھی (جیسے پہلی بار میں پڑھی تھی) پھر عشاء اس وقت پڑھی جب ایک تہائی رات گزر گئی، پھر فجر اس وقت پڑھی جب اجالا ہو گیا، پھر جبرائیل نے میری طرف متوجہ ہو کر کہا: اے محمد! یہی آپ سے پہلے کے انبیاء کے اوقات نماز تھے، آپ کی نمازوں کے اوقات بھی انہی دونوں وقتوں کے درمیان ہیں ۳؎۔",جب جبرائیل علیہ السلام نے خانہ کعبہ کے پاس نبی اکرم صلی الله علیہ وسلم کی دو بار امامت کی تو نماز کس وقت پڑھی.
"ابوہریرہ رضی الله عنہ کہتے ہیں کہ رسول اللہ صلی الله علیہ وسلم نے فرمایا: ""نماز کا ایک اول وقت ہے اور ایک آخری وقت، ظہر کا اول وقت وہ ہے جب سورج ڈھل جائے اور اس کا آخری وقت وہ ہے جب عصر کا وقت شروع ہو جائے، اور عصر کا اول وقت وہ ہے جب عصر کا وقت (ایک مثل سے) شروع ہو جائے اور آخری وقت وہ ہے جب سورج پیلا ہو جائے، اور مغرب کا اول وقت وہ ہے جب سورج ڈوب جائے اور آخری وقت وہ ہے جب شفق ۱؎ غائب ہو جائے، اور عشاء کا اول وقت وہ ہے جب شفق غائب ہو جائے اور اس کا آخر وقت وہ ہے جب آدھی رات ہو جائے ۲؎، اور فجر کا اول وقت وہ ہے جب فجر (صادق) طلوع ہو جائے اور آخری وقت وہ ہے جب سورج نکل جائے۔",نماز کا اول وقت اور آخری وقت کیا ہے. 
